Species,Occupancy,Density,Observations,9,10,19,11,34,15,16,18,17,33
"Mountain Bluebird","1","1","1782","","RS","","","","","RC,RS","","",""
"Mountain Chickadee","1","1","3932","RC","RS","","","RC","","RC","","",""
"Mountain Plover","1","1","57","RC","RC","","RC","","","RC","RC,RS","RC",""
"Northern Bobwhite","1","1","284","","","RC","","","","","","",""
"Northern Goshawk","1","1","5","","RC","","","","","","","RC",""
"Northern Harrier","1","1","126","RC","","RC","RC,RS","","","RC","RC","RC",""
"Northern Pintail","1","1","61","","RC","","RC","","","RC","RC","RC",""
"Northern Rough-winged Swallow","1","1","7","RC","","","","","","","","",""
"Olive-sided Flycatcher","1","1","372","RC","RC","","","","RC","RC","","",""
"Phainopepla","1","1","62","","","","","RC","","","","",""
"Pinyon Jay","1","1","1340","RC,RS","RC","","","RC","RC","RC,RS","RC","RC","RC"
"Pine Siskin","1","1","1417","RC","RS","","","","","","","",""
"Plumbeous Vireo","1","1","652","","RC","","","RC","","RS","","",""
"Prairie Falcon","1","1","21","","","","","RC","","RC","RC","RC",""
"Pygmy Nuthatch","1","1","997","","","","","RS","RC","RS","","",""
"Pyrrhuloxia","1","1","0","","","","","","","","","","RC"
"Red-breasted Nuthatch","1","1","1143","","RS","","","","","","","",""
"Red Crossbill","1","1","643","","RC","","","","","","","",""
"Redhead","1","1","19","RC","","","RS","","","","","",""
"Red-faced Warbler","1","1","43","","","","","RS","","","","",""
"Red-headed Woodpecker","1","1","299","","","RC","RC","","","","RC","RC",""
"Red-naped Sapsucker","1","1","218","RC","RS","","","","","RC","","",""
"Rock Wren","1","1","1046","RS","","","","","","","RC","",""
"Ruddy Duck","1","0","7","","","","RS","","","","","",""
"Rufous Hummingbird","1","1","22","","RC","","","","","","","",""
"Rufous-winged Sparrow","1","1","0","","","","","","","","","","RS"
"Sagebrush Sparrow","1","1","1185","RS","","","","","","RC","","",""
"Sage Thrasher","1","1","5504","RC,RS","RC,RS","","","","","RC","","",""
"Scott's Oriole","1","1","58","RC","","","","RC","","","","","RC"
"Scaled Quail","1","1","29","","","RC","","RC","","RC","RC","",""
"Short-eared Owl","1","1","2","RC","","","RC","","","RC","RC","",""
"Snowy Plover","1","0","0","RC","","RC","","","","RC","RC","","RC"
"Sooty Grouse","1","0","1","RS","","","","","","","","",""
"Sora","1","1","13","","","","RS","","","","","",""
"Sprague's Pipit","1","1","123","","","","RC,RS","","","","","RC",""
"Spotted Towhee","1","1","371","","","","","RC","","","","",""
"Scissor-tailed Flycatcher","1","1","107","","","RC","","","","","","",""
"Sharp-tailed Grouse","1","1","0","RC","","","","","","","","",""
"Swainson's Hawk","1","1","29","","","RC","RS","","","","","",""
"Thick-billed Longspur","1","1","842","","RC","","RC,RS","","","RC","RC","RC",""
"Townsend's Warbler","1","1","1828","RC","RC,RS","","","","","","","",""
"Trumpeter Swan","1","0","5","RC","RC","","","","","","","RC",""
"Upland Sandpiper","1","1","210","","RC","RC","RC","","","","RC","",""
"Vaux's Swift","1","1","25","","RC","","","","RC","","","",""
"Varied Thrush","1","1","370","RC","RC","","","","","","","",""
"Veery","1","1","15","RC","RC","","","","","","","",""
"Verdin","1","1","24","","","","","","","","","","RC"
"Vesper Sparrow","1","1","7204","RC","RC","","RS","","","RC","","RC",""
"Violet-green Swallow","1","1","454","","","","","","","RC","","",""
"Virginia's Warbler","1","1","706","RC","","","","RC","","RC,RS","","",""
"Warbling Vireo","1","1","1208","","RS","","","","RC","","","",""
"Western Bluebird","1","1","77","","","","","","","RS","","",""
"Western Grebe","1","1","1","RS","","","","","","","","",""
"Western Kingbird","1","1","375","","","","","","","","RS","",""
"Western Meadowlark","1","1","14557","","","RC","RC","","","","RC","",""
"Western Tanager","1","1","2266","","RS","","","","","","","",""
"Western Wood-Pewee","1","1","1289","","RC,RS","","","RC","RC","","","",""
"White-headed Woodpecker","1","1","39","RC","RC","","","","RS","","","",""
"Willow Flycatcher","1","1","61","RC","RC,RS","","","","","RC","","",""
"Willet","1","1","328","","RC","RC","RC,RS","","","RC","","",""
"Wilson's Phalarope","1","1","29","RC","RC","","RS","","","RC","","",""
"Williamson's Sapsucker","1","1","218","","RC,RS","","","","","RC,RS","","",""
"Woodhouse's Scrub-Jay","1","1","378","","","","","","","RS","","",""
"White-tailed Ptarmigan","1","1","4","","RC","","","","","RC","","",""
"White-throated Swift","1","1","67","","","","","RC","","RC","","",""
"Yellow-billed Cuckoo","1","1","20","","","RC","","","","","","",""
"Yellow-headed Blackbird","1","1","278","RC,RS","","","RS","","","RC","","",""
